feature,modality,family,meaning,unit,formula,computation_note,task_scope,aggregation,required_inputs,normalization,evidence_tier,implementation_status,interpretation,source_document,source_location,source_function
path_vert_med,kinematic,Vertical lip/jaw displacement,Vertical-opening cumulative path — median,ICD (cumulative),median or IQR across movements of sum(|x[i]-x[i-1]|),"Cumulative path of lower-lip vertical movement, median across reps (integration over frame index, dx=1).",repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,B,implemented-legacy65,"Total vertical excursion travelled. HIGHER in symptomatic ALS (longer, more effortful movement; Bandini 2018).",Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_path_from_aperture
path_vert_iqr,kinematic,Vertical lip/jaw displacement,Vertical-opening cumulative path — inter-rep IQR,ICD,median or IQR across movements of sum(|x[i]-x[i-1]|),IQR across reps of vertical cumulative path.,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Consistency of vertical excursion across repetitions; rises with movement variability.,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_path_from_aperture
rom_vert_med,kinematic,Vertical lip/jaw displacement,Vertical range of motion — median,ICD,median or IQR across movements of P95(x)-P05(x),"Range of normalized vertical lip-opening position (P95-P5), median across reps.",repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,B,implemented-legacy65,"Mouth-opening amplitude. May REDUCE (lip) or INCREASE (compensatory jaw) in ALS — direction is informative, not fixed.",Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_range_from_aperture
rom_vert_iqr,kinematic,Vertical lip/jaw displacement,Vertical range of motion — inter-rep IQR,ICD,median or IQR across movements of P95(x)-P05(x),IQR across reps of vertical ROM.,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Trial-to-trial consistency of opening amplitude; rises with incoordination.,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_range_from_aperture
sLL_vert_prc_5,kinematic,Vertical lip/jaw displacement,Vertical lip-opening speed — 5th-pct level,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,B,implemented-legacy65,Speed of vertical lip/jaw opening. SLOWS with bulbar decline (reduced velocity; Bandini/Yunusova) (5th-pct level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_speed_from_aperture_gradient
sLL_vert_med,kinematic,Vertical lip/jaw displacement,Vertical lip-opening speed — median level,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,B,implemented-legacy65,Speed of vertical lip/jaw opening. SLOWS with bulbar decline (reduced velocity; Bandini/Yunusova) (median level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_speed_from_aperture_gradient
sLL_vert_prc_95,kinematic,Vertical lip/jaw displacement,Vertical lip-opening speed — 95th-pct level,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,B,implemented-legacy65,Speed of vertical lip/jaw opening. SLOWS with bulbar decline (reduced velocity; Bandini/Yunusova) (95th-pct level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_speed_from_aperture_gradient
sLL_vert_prc_5_95,kinematic,Vertical lip/jaw displacement,Vertical lip-opening speed — within-rep range,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,B,implemented-legacy65,Speed of vertical lip/jaw opening. SLOWS with bulbar decline (reduced velocity; Bandini/Yunusova) (within-rep range: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_speed_from_aperture_gradient
sLL_vert_prc_5_iqr,kinematic,Vertical lip/jaw displacement,Vertical lip-opening speed — P5 inter-rep IQR,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Speed of vertical lip/jaw opening. SLOWS with bulbar decline (reduced velocity; Bandini/Yunusova) (P5 inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_speed_from_aperture_gradient
sLL_vert_med_iqr,kinematic,Vertical lip/jaw displacement,Vertical lip-opening speed — median inter-rep IQR,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Speed of vertical lip/jaw opening. SLOWS with bulbar decline (reduced velocity; Bandini/Yunusova) (median inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_speed_from_aperture_gradient
sLL_vert_prc_95_iqr,kinematic,Vertical lip/jaw displacement,Vertical lip-opening speed — P95 inter-rep IQR,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Speed of vertical lip/jaw opening. SLOWS with bulbar decline (reduced velocity; Bandini/Yunusova) (P95 inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_speed_from_aperture_gradient
sLL_vert_prc_5_95_iqr,kinematic,Vertical lip/jaw displacement,Vertical lip-opening speed — range inter-rep IQR,ICD/s,requested summary of |dx/dt|; derivative uses timestamps,sLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Speed of vertical lip/jaw opening. SLOWS with bulbar decline (reduced velocity; Bandini/Yunusova) (range inter-rep IQR: inter-trial consistency).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_speed_from_aperture_gradient
aLL_vert_prc_5,kinematic,Vertical lip/jaw displacement,Vertical lip-opening acceleration — 5th-pct level,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of vertical opening; peaks decline with bulbar progression. Noise-amplified by double differentiation — interpret cautiously (5th-pct level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_acceleration_from_speed_gradient
aLL_vert_med,kinematic,Vertical lip/jaw displacement,Vertical lip-opening acceleration — median level,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of vertical opening; peaks decline with bulbar progression. Noise-amplified by double differentiation — interpret cautiously (median level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_acceleration_from_speed_gradient
aLL_vert_prc_95,kinematic,Vertical lip/jaw displacement,Vertical lip-opening acceleration — 95th-pct level,ICD/s^2,requested summary of |d2x/dt2|; derivative uses signed dx/dt,aLL_vert =,repeated oral-motor task; whole-file fallback flagged,"movement-window robust percentiles: p05, median, p95, p95-p05; median and IQR across windows","0, 17, 13, 14",intercanthal-normalized coordinate layer; default GUI scale uses 133/362 with 33/263 fallback; legacy feature-map ratios also use 243/463 when available,C,implemented-legacy65,Acceleration of vertical opening; peaks decline with bulbar progression. Noise-amplified by double differentiation — interpret cautiously (95th-pct level: movement amplitude/level).,Kinematic Feature Validation.xlsx,Main/Summary; mapped by feature family,legacy_65_vertical_acceleration_from_speed_gradient
