family_id,family_name,construct_number,construct_name,feature_id,status,selectable_in_gui,executor_group,required_boundary_source,required_additional_manifest,task_recommendation,evidence,unit,range,analysis_unit,algorithm,parameter_set_id,reason_if_not_implemented_or_unresolved,id_provenance,identity_basis,not_implemented_reason_class
F11,Intensity and amplitude,60,Absolute energy,absolute_energy_fs2,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,"recommended: Sustained /a/, WSTG",NOT ESTABLISHED,digital-amplitude² sum,—,Defined waveform segment,family11-digital-amplitude-1.0.0,family11_amplitude_native_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F11,Intensity and amplitude,64,Waveform amplitude descriptive statistics (mean/SD/max/min),amp_max_fs,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,LIMITED,digital full scale,—,Waveform samples,family11-digital-amplitude-1.0.0,family11_amplitude_native_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F11,Intensity and amplitude,64,Waveform amplitude descriptive statistics (mean/SD/max/min),amp_mean_fs,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,LIMITED,digital full scale,—,Waveform samples,family11-digital-amplitude-1.0.0,family11_amplitude_native_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F11,Intensity and amplitude,64,Waveform amplitude descriptive statistics (mean/SD/max/min),amp_min_fs,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,LIMITED,digital full scale,—,Waveform samples,family11-digital-amplitude-1.0.0,family11_amplitude_native_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F11,Intensity and amplitude,64,Waveform amplitude descriptive statistics (mean/SD/max/min),amp_sd_fs,IMPLEMENTED,True,spectrum,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,LIMITED,digital full scale,—,Waveform samples,family11-digital-amplitude-1.0.0,family11_amplitude_native_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F08,Speech and articulation rate,49,Articulation rate,articulation_rate_syll_s,IMPLEMENTED,True,timing,REVIEWED_SEGMENTATION,PROMPT_COUNT,recommended: Bamboo Passage,STRONG,syllables/s,0–10 syllables/s,Whole utterance/prompt,family08-rate-1.0.0,family08_bamboo_reviewed_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F06,Segmental articulatory / phonetic contrasts,36,Bandpassed noise energy (place-of-articulation contrast),band_noise_contrast_variant1,NOT_IMPLEMENTED,False,segmental,NONE,NONE,,LIMITED,arbitrary digital contrast,N/A,Matched noise targets,family06-aligned-subevents-1.0.0,family06_native_subevents_v1,"Target pairing, spectral normalization and source contrast convention are incomplete.",SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,SOURCE_DEFINITION_INCOMPLETE
F06,Segmental articulatory / phonetic contrasts,36,Bandpassed noise energy (place-of-articulation contrast),band_noise_contrast_variant2,NOT_IMPLEMENTED,False,segmental,NONE,NONE,,LIMITED,arbitrary digital contrast,N/A,Matched noise targets,family06-aligned-subevents-1.0.0,family06_native_subevents_v1,"Target pairing, spectral normalization and source contrast convention are incomplete.",SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,SOURCE_DEFINITION_INCOMPLETE
F06,Segmental articulatory / phonetic contrasts,35,Articulatory precision (phoneme goodness / likelihood-ratio),blocked_aural_analytics_ap,NOT_IMPLEMENTED,False,segmental,NONE,NONE,conditional: WSTG,STRONG,dimensionless score,0–10,Aligned phones / session,family06-aligned-subevents-1.0.0,family06_native_subevents_v1,"Proprietary normative database, likelihood model and scaling are unavailable.",SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,PROPRIETARY_UNREPRODUCIBLE
F02,"Voice quality, perturbation and noise",10,Cepstral peak prominence (CPP),cpp_db,NOT_IMPLEMENTED,False,voice,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,LIMITED,dB,—,Voiced frames,family02-praat-1.0.0,family02_stable_vowel_praat_v1,Complete unsmoothed CPP Praat peak/trend parameter profile is not specified.,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,SOURCE_DEFINITION_INCOMPLETE
F02,"Voice quality, perturbation and noise",10,Cepstral peak prominence (CPP),cpps_db,NOT_IMPLEMENTED,False,voice,REVIEWED_SEGMENTATION,NONE,recommended: Sustained /a/,LIMITED,dB,—,Voiced frames,family02-praat-1.0.0,family02_stable_vowel_praat_v1,Complete Praat CPPS peak/trend parameter profile is not specified.,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,SOURCE_DEFINITION_INCOMPLETE
F09,Pause and phrasing,51,CV pause duration,cv_pause_duration,IMPLEMENTED,True,timing,REVIEWED_SEGMENTATION,NONE,recommended: Bamboo Passage,NOT ESTABLISHED,dimensionless,≥0,Pause events,family09-pause-1.0.0,family09_bamboo_reviewed_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F09,Pause and phrasing,51,CV pause duration,cv_pause_duration_pct,IMPLEMENTED,True,timing,REVIEWED_SEGMENTATION,NONE,recommended: Bamboo Passage,NOT ESTABLISHED,%,≥0%,Pause events,family09-pause-1.0.0,family09_bamboo_reviewed_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F09,Pause and phrasing,52,CV phrase duration,cv_phrase_duration,IMPLEMENTED,True,timing,REVIEWED_SEGMENTATION,NONE,recommended: Bamboo Passage,NOT ESTABLISHED,dimensionless,≥0,Phrase events,family09-pause-1.0.0,family09_bamboo_reviewed_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F09,Pause and phrasing,52,CV phrase duration,cv_phrase_duration_pct,IMPLEMENTED,True,timing,REVIEWED_SEGMENTATION,NONE,recommended: Bamboo Passage,NOT ESTABLISHED,%,≥0%,Phrase events,family09-pause-1.0.0,family09_bamboo_reviewed_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F10,"DDK performance: rate, count and regularity",59,DDK regularity (cycle-to-cycle temporal variability),ddk_cycle_mad_s,IMPLEMENTED,True,ddk,DDK_EVENTS,NONE,recommended: DDK,LIMITED,s,No universal bound,Adjacent cycle intervals,family10-reviewed-ddk-1.0.0,family10_ddk_reviewed_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F10,"DDK performance: rate, count and regularity",58,DDK rate (syllable repetition rate),ddk_rate_syll_s,IMPLEMENTED,True,ddk,DDK_EVENTS,NONE,recommended: DDK,MODERATE,syllables/s,≥0 syllables/s,Full DDK trial and events,family10-reviewed-ddk-1.0.0,family10_ddk_reviewed_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
F07,Segment duration and temporal variability,47,"Vowel duration variability indices (deltaV, VarcoV, nPVI-V)",delta_v_s,IMPLEMENTED,True,timing,ALIGNMENT,NONE,recommended: Bamboo Passage,LIMITED,s,0–1 s,Aligned vowel sequence,family07-reviewed-duration-1.0.0,family07_alignment_tokens_v1,,SOURCE_DEFINED_ID,DOCX FEATURE ID(S) exact ID,
